transaction_unique_id,seller_company_name,customer_company_name,ferc_tariff_reference,contract_service_agreement,transaction_unique_identifier,transaction_begin_date,transaction_end_date,trade_date,exchange_brokerage_service,type_of_rate,time_zone,point_of_delivery_balancing_authority,point_of_delivery_specific_location,class_name,term_name,increment_name,increment_peaking_name,product_name,transaction_quantity,price,rate_units,standardized_quantity,standardized_price,total_transmission_charge,total_transaction_charge
T33358062,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T10,2020-01-01T00:45:00,2020-01-01T00:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.575,3,$/MWH,,,0,1.72
T33358063,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T11,2020-01-01T00:50:00,2020-01-01T00:55:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.5833,3,$/MWH,,,0,1.75
T33358064,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T12,2020-01-01T00:55:00,2020-01-01T01:00:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.6333,3,$/MWH,,,0,1.9
T33358065,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T13,2020-01-01T01:00:00,2020-01-01T01:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3,3,$/MWH,,,0,0.9
T33358066,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T14,2020-01-01T01:05:00,2020-01-01T01:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3083,3,$/MWH,,,0,0.92
T33358067,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T15,2020-01-01T01:10:00,2020-01-01T01:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.025,3,$/MWH,,,0,0.08
T33358068,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T16,2020-01-01T01:15:00,2020-01-01T01:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.0583,3,$/MWH,,,0,0.17
T33358069,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T17,2020-01-01T01:20:00,2020-01-01T01:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.2083,3,$/MWH,,,0,0.63
T33358070,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T18,2020-01-01T01:25:00,2020-01-01T01:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3083,3,$/MWH,,,0,0.92
T33358071,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T19,2020-01-01T01:30:00,2020-01-01T01:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3917,3,$/MWH,,,0,1.17
T33358072,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T20,2020-01-01T01:35:00,2020-01-01T01:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358073,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T21,2020-01-01T01:40:00,2020-01-01T01:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358074,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T22,2020-01-01T01:45:00,2020-01-01T01:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358075,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T23,2020-01-01T01:50:00,2020-01-01T01:55:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358076,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T24,2020-01-01T01:55:00,2020-01-01T02:00:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358077,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T25,2020-01-01T02:00:00,2020-01-01T02:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358078,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T26,2020-01-01T02:05:00,2020-01-01T02:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358079,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T27,2020-01-01T02:10:00,2020-01-01T02:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358080,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T28,2020-01-01T02:15:00,2020-01-01T02:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
